name,description,averageRating,ratingCount,fiveStarRatings,fourStarRatings,recentChanges
Mercado Pago,"La aplicación oficial de Mercado Pago para Android. Puedes: • Realizar una recarga virtual de saldo en tu celular al instante y sin ningún costo. Con nuestra app puedes recargar crédito en tu celular en cualquier momento y lugar y mantenerte siempre conectado.** Contamos con las principales compañías disponibles: - Argentina: Movistar, Personal, Claro, Nextel. - México: Telcel, Movistar, AT&T - Iusacell, Nextel, Virgin Mobile, Unefon, Cierto y MazTiempo • Pagar tus cuentas escaneando el código de barras. Es muy simple, puedes pagar tus servicios desde el celular, sin hacer filas ni perder tiempo en trasladarte.* • Enviar y recibir dinero gratis entre familiares y amigos, con tu dinero en cuenta o a través de tarjeta de crédito. Ideal para juntar el dinero de cualquier evento, sea una comida con amigos o un regalo de cumpleaños, siempre puedes contar con nuestra app disponible para compartir gastos. En todas estas funcionalidades cuentas con todos los beneficios de Mercado Pago: • Usar todos los medios de pago online disponibles, tarjetas de crédito ó dinero en cuenta. • Disfrutar de todas las promociones de Mercado Pago desde tu dispositivo. Es simple, rápida y segura. ¿Qué esperas para descargarla? Disponible en Argentina, Brasil, Chile, Colombia, México y Venezuela. *Si estás en Argentina y Brasil. **Por ahora disponible en Argentina, México y Brasil.",4.5,80154,59151,10573,"[Si estás en Argentina, ya solucionamos un error del lector de códigos QR al cargar combustible en Axion Energy. Ahora podrás pagar sin problemas desde tu celular., Hicimos mejoras y correcciones generales.]"
Wirex. Tarjeta de Bitcoin,"?Tarjetas de débito bitcoin virtuales y de plástico, cambio de moneda, monedero BTC seguro, transferencias de dinero locales e internacionales instantáneas y mucho más. Instala la versión más reciente de la aplicación Wirex para tener acceso a la banca móvil bitcoin de funcionalidad completa; la solución de pagos bitcoin más versátil del mundo. “La aplicación Wirex es lo más parecido a un 'banco en el bolsillo'” - CoinGecko, abril 2016. Wirex es la solución de monedero digital y tarjeta de pago combinados preferida por los clientes en más de 130 países, entre ellos: >> Profesionales trabajando en el extranjero y familiares: Envía dinero a casa a un coste mínimo y al instante. Ya no necesitas los servicios de remesas internacionales tradicionales. >> Viajeros y expatriados: Mantén tu dinero en línea y accede a él desde cualquier parte del mundo. Con Bitcoin y los monederos USD/GBP/EUR, puedes realizar pagos a cualquier lugar. >> Empresarios y trabajadores autónomos: Usa Wirex para pagar las nóminas o recibe tus pagos mediante bitcoin en tu monedero Wirex. Convierte BTC en dinero al instante desde tu monedero móvil Wirex y carga tu tarjeta Wirex que podrás usar inmediatamente en cualquier lugar que acepte Visa. Tu primera tarjeta de pago virtual es GRATUITA para pagos en línea en USD, GBP, EUR. Las tarjetas de plástico están disponibles para el retiro de dinero desde cajeros automáticos en todo el mundo, pagos en línea y compras en tiendas físicas. >> Compra, vende, transfiere y cambia bitcoin a favorables tipos de mercado. >> Transfiere y recibe dinero con facilidad, en cualquier momento y en cualquier lugar del mundo. >> Convierte bitcoin en dinero al instante y gástalo usando tus tarjetas Wirex virtuales o de plástico. >> Gestiona tu cuenta multiplataforma tanto desde la web como desde el móvil. >> Los saldos de la cuenta para bitcoin y monedas locales se actualizan en tiempo real. >> Usa la aplicación en el idioma que prefieras entre los 13 ofrecidos: inglés, japonés, español, francés, alemán, italiano, ruso, turco, chino simplificado, indonesio, filipino, griego, portugués. ¿Nuevo en Bitcoin? Con Wirex a tu alcance, bitcoin is simple. Accede a nuestras guías de bitcoin gratuitas en las que tratamos los aspectos básicos de bitcoin, así como temas más avanzados sobre el ahorro y la inversión de criptomonedas en la creciente economía digital. Para usuarios de Bitcoin más avanzados: Wirex es la solución líder de tarjetas de débito Bitcoin y cambio de diferentes monedas (incluyendo Ethereum y otras criptomonedas). Únete a la comunidad Wirex y mantente informado con blogs de expertos, noticias de bitcoin, tutoriales de altcoin, seguimiento de precios de bitcoin en tiempo real y podcasts de bitcoin. Finanzas personales para la economía digital Imagina usar tanto dinero como criptomonedas y poder elegir la opción que te resulte más práctica y barata en cada momento. Eso es lo que te ofrecemos. Como líder mundial de aplicaciones de banca bitcoin y de tarjetas de débito bitcoin, queremos que disfrutes de la banca móvil más avanzada para transferencias de dinero, ahorro e inversiones, monederos móviles, soluciones de tarjetas de pago y mucho más. Pruébalo sin compromisos. Regístrate y pide tu tarjeta virtual gratuita, disponible en la mayoría de países sin verificación. Las cuentas Wirex están protegidas con PIN, autenticación de doble factor y cuentan con un monedero bitcoin de funcionalidad completa. Ahorra, envía y gasta con bitcoin mediante la aplicación Wirex, que combina los servicios de pago tradicionales con el cambio de bitcoin más avanzado.",3.8,2512,1478,248,[Some of you reported an issue with phone numbers at the point of registration. We fixed it. Welcome to the Wirex app!]
Billetera Colpatria,"Inscribe tus Tarjetas de Crédito y empieza a pagar con tu celular. Con la Billetera Móvil Colpatria podrás pagar en datafonos con tu celular sin necesidad de entregar tus tarjetas. Disfruta de un proceso de pagos más práctico y seguro. Además, entérate de todas las promociones a las que podrás acceder pagando con nuestra app y ten acceso rápido al registro de todas tus compras. Descárgala y disfruta de la nueva forma de pagar!",3.0,87,29,12,[Boton de Facebook habilitado.]
BBVA | Colombia,"Con BBVA móvil, la aplicación de BBVA Colombia, puedes realizar todas tus operaciones bancarias mucho más fácil, con total comodidad, seguridad y sin necesidad de ir a la oficina. Recuerda que con BBVA móvil puedes: • Ingresar con una contraseña única y maximizar la seguridad gracias a la identificación biométrica que te permite acceder con tu huella dactilar *. • Consultar saldos y movimientos de tus cuentas corrientes y de ahorro, tarjetas de crédito, préstamos, CDTs y fondos de inversión. • Realizar transferencias entre cuentas propias y a cuentas de otras personas aunque no estén en BBVA. • Realizar tus transferencias cuando las necesites. Inscribe tus cuentas en la aplicación y realiza inmediatamente tu transferencia. • Retirar tu dinero y realizar avances desde Tarjeta de Crédito en Cajeros BBVA sin necesidad de llevar contigo tú Tarjeta. • Realizar avances desde Tarjeta de Crédito con abono inmediato a tu Cuenta de Ahorros o Cuenta Corriente. • Pagar servicios escaneando el código de barras de tu factura y recargar tu celular. • Pagar tarjetas de crédito BBVA y de otros bancos. •Generar un código único y dinámico desde la opción ‘Token’ para confirmar operaciones en BBVA móvil y BBVA net. La opción más segura para aprobar algunas de tus operaciones. • ¿Te gusta estar informado sobre los movimientos de tus cuentas? accede al servicio de Alertas de BBVA móvil y lleva el control de tus finanzas por medio de notificaciones, también te informaremos sobre los puntos acumulados con cada compra realizada. Los requisitos son mínimos: • Si aún no eres cliente BBVA, ¡no te preocupes! puedes descargar nuestra app y abrir Dinero móvil ingresando la información solicitada. • Si eres cliente BBVA, debes tener actualizado tu número celular en el servicio de alertas y mensajería. Puedes hacerlo acercándote a una oficina BBVA. • Debes tener disponibles los datos de tus tarjetas Débito o Crédito al momento de crear tu contraseña para firmar operaciones. • Contar con un plan de datos o acceso a Wi-Fi para realizar la descarga de la aplicación. ¿Qué esperas para descargarla? Ahorra tiempo y realiza todas tus operaciones de la forma más fácil y segura. * Esta opción se encuentra disponible para versiones Android 6 o superiores y para dispositivos que no hayan sufrido modificaciones o rooting con relación a su versión original entregada por el fabricante.",4.1,20465,13083,2849,"[- BBVA móvil se renueva para ofrecerte una mejor experiencia. Podrás consultar todos tus productos en un solo listado para que puedas ver la disponibilidad y el estado de cada uno y realizar tus operaciones ingresando al detalle de tu producto., - Haz de forma más rápida y sencilla los pagos de tus servicios al escanear el código de barras de tu factura (aplica para algunos servicios)., - Si dispones de Adelanto de Nómina, en BBVA móvil podrás activarlo y usarlo, - Ajustes de novedades]"
FNA Móvil Ágil,"Descarga e instala gratis nuestra app para estar contigo en todo momento, así podrás conocer los beneficios que tiene la entidad para ti. Si eres usuario, o quieres serlo, podrás descubrir cada uno de los productos y servicios que hemos diseñado pensando en ti. A continuación, te contamos lo que puedes hacer: Quiero ser usuario del FNA: Si quieres ser parte del FNA, ¡Esta es tu oportunidad! En la opción “Conoce al FNA” podrás: • Conocer, de acuerdo a tu ubicación, las mejores opciones de Proyectos de Vivienda. • Ubicar nuestros puntos de atención. • Hablar con alguno de nuestros funcionarios. El APP te permite usar tu teléfono para comunicarte con nosotros. ¡es totalmente gratis! • Conectarte con nuestro Call Center. Solo márcanos y te devolveremos la llamada para que no gastes tus minutos • Mantente informado sobre: Convenios Educativos, Calendario de eventos, más productos para ti y datos de nuestros indicadores económicos más importantes. Ingreso afiliados: Si eres parte del FNA, con tu usuario de Fondo en Línea, puedes acceder desde cualquier lugar a toda la información transaccional de tus productos. Vive tranquilo, la APP es totalmente segura. Tu información personal será utilizada con total confidencialidad, solo tú podrás acceder a la información y los servicios transaccionales que están a tu nombre. Te lo garantizamos validando tu identidad con un código de verificación. Para que tu experiencia con nosotros sea la mejor, al abrir el APP por primera vez, te preguntamos información (que solo tú sabes), de manera que en caso de algún imprevisto, puedas recuperar tu contraseña para que nunca nos abandones. Cuando empieces a configurar la app, te vamos a pregunta cuál es el sueño que quieres cumplir. Debes elegir si es vivienda o educación, y cual será tu meta en dinero. Este sueño está ligado al producto que tengas definido en el FNA. Déjate guiar por nuestro aplicativo. Una vez empieces a forjar tu sueño con nosotros, puedes monitorear su progreso en la app cuando quieras y en donde quieras.",3.2,288,125,26,"[¡Gracias por utilizar FNA Móvil Ágil!, Para mejorar tu experiencia te hemos traído las siguientes mejoras:, - Mejoras en el desempeño.]"
PayPal,"TU DINERO EN LA PALMA DE TU MANO Descubre la nueva app de PayPal y usa tu cuenta dondequiera que estés. Administra tu saldo, consulta tus movimientos, solicita que te envíen pagos y haz pagos internacionales… ¡Ahora es más fácil que nunca! PAGA CON RAPIDEZ Y SEGURIDAD Paga tus compras alrededor del mundo ingresando únicamente el correo electrónico del destinatario. Una vez que reciba tu pago, el vendedor podrá usarlo para hacer compras o transferirlo a su cuenta bancaria, y tanto tú como él podrán confiar en la seguridad de PayPal para proteger sus datos financieros. RECIBE PAGOS FÁCILMENTE ¿Vendiste un artículo en Internet? ¿Necesitas cobrar un servicio que proporcionaste? Envía solicitudes de pago para que otros usuarios puedan pagarte con solo un toque. ¡Descubre lo cómodo y fácil que es! ACCEDE RÁPIDAMENTE A TUS MOVIMIENTOS Cada vez que compres algo en Internet, o recibas un pago, la app de PayPal te enviará una notificación instantánea para que puedas llevar el control de tus movimientos. Todas tus transacciones se quedarán registradas de forma segura en un mismo lugar. Si estás viendo esta página desde fuera de México, debes tener en cuenta que algunas de estas funciones podrían no estar disponibles en esta versión de la aplicación.",4.4,588549,399738,96847,[Esperamos que le guste nuestra aplicación. Manténgala actualizada para recibir siempre las últimas mejoras.]
Mi presupuesto,"Finance PM - Control de Gastos - Su personal gestor de finanzas. El principal objetivo de la aplicación es permitir a los usuarios manejar con su dinero fácil y rápido. Por lo general, el dinero se agota en el momento más inoportuno, y entonces es muy difícil recordar dónde y cuando se ha gastado una cantidad bastante grande. Es difícil de entender cuánto dinero se gasta en el coche, a la salud, a la educación. Aún más difícil posponer una cantidad decente para vacaciones o vivienda. Esta aplicación le ayudará a controlar sus gastos y cortarlas. Con la aplicación ""Personal gerente financiero"" Usted será capaz de controlar cualquier número de carteras y cuentas en diferentes monedas. Usted será capaz de ahorrar suficiente dinero para cualquier de sus sueños. Para facilitar el control de fondos, recomendamos introducir un límite(presupuesto) en el gasto de dinero en el mes/día/período. Esto permitirá entender lo mucho que Usted se retira de los gastos previstos. Si hay sobrecosto es posible que vale la pena reducir los gastos. Si Usted manténgase dentro de los límites lo que significa que Usted tiene el control completo sobre Sus flujos de efectivo. Personal gerente financiero es la contabilidad de casa, que cabe en Tu bolsillo o tableta. Que el usuario obtendrá mediante de la descarga de esta aplicación? - La atención de desarrollador a los deseos y recomendaciones. - Interfaz cómodo y functional - El apoyo firme ...y también: - Manejar de cualquier número de cuentas - Posibilidad de añadir, editar y eliminar la operación de cuentas: ingresos, gastos, transferencias - Editable árbol de categorías, cada usuario configura por sí mismos - Posibilidad de añadir nuevas monedas - Posibilidad de configurar las operaciones periódicas (repetibles) La aplicación te dirá: ¿ cuánto dinero Se debe a alguien o cuánto debe Usted, esto ayudará a evitar incómodos situaciones, cuando accidentalmente te olvidas de pagar la deuda. - Protección de aplicación con una contraseña. - La posibilidad de sincronizar datos entre varios dispositivos. - Posibilidad de crear operaciones de plantillas - Importación y exportación de datos - Exportar datos a XLS Si Usted no puede encontrar conveniente aplicación, pruebe Finance PM.",4.6,25834,19083,4224,"[09.11.2015 Version 2.9.20, Added Portuges and Italiano languages in the Finance Manger app., 27.09.2015 Version 2.9.12, Modified reports, bug fixes and modified view with soonest operation., 31.05.2015 Version 2.9.11, Bug fixes and performance improvements.]"
DaviPlata,"Los contactos de sus amigos, los recuerdos en familia, su música favorita, la forma de conectarse con el mundo es a través de su celular. ¿Por qué no tener su plata en el celular también? Viva la experiencia de utilizar su plata de manera fácil y segura con DaviPlata. ABRA YA SU DAVIPLATA Y DISFRUTE DE SUS BENEFICIOS: SIN COSTO Siendo un producto enfocado a la inclusión financiera, desarrollamos tecnologías y procesos que brindan servicios sin costo para las transacciones que usted realice en la aplicación. APROVECHE SU TIEMPO Ahorre tiempo valioso al hacer sus transacciones sin tener que ir a una oficina o esperar su turno en la fila, porque con DaviPlata usted podrá: • Pasar plata desde DaviPlata a otros celulares activos en DaviPlata o a cuentas de ahorro o corriente de Davivienda sin costo. • Recibir en su DaviPlata giros nacionales e internacionales sin costo. • Recargar desde su DaviPlata minutos a celular sin costo. • Pagar desde su DaviPlata servicios públicos y privados sin costo. • Sacar plata desde un cajero automático Davivienda o un punto autorizado de DaviPlata sin costo. • Además podrá saber cuánto tiene, consultar los movimientos, resolver sus dudas y ubicar la red de puntos autorizados DaviPlata, oficinas y cajeros más cercanos a usted. Para más información ingrese a nuestra página www.daviplata.com. SIN PAPELEO, FIRMAS O HUELLAS Actíve su DaviPlata solo con los datos de su documento de identificación desde el lugar donde se encuentre. ¡DESCARGUELA Y ACTIVESE YA! DaviPlata es un depósito de dinero electrónico amparado por el seguro de depósito de Fogafin, aplican valores máximos y mínimos permitidos para la administración, desde y hacia DaviPlata.",3.8,3959,2218,505,[Corrección a defectos menores.]
Bancolombia App Empresas,"Bancolombia App Empresas podrá realizar consultas de los productos de su empresa y aprobar transacciones de forma fácil y segura. También podrán solicitar documentos, mantenerse informado sobre el mercado financiero colombiano y comunicarse con nuestra Sucursal Telefónica Bancolombia para resolver inquietudes. Copyright © 2017 Bancolombia S.A.",2.8,311,98,19,"[Ahora en Bancolombia App Empresas, usted podrá realizar consultas de movimientos, transferencias a cuentas Bancolombia y aprobar las novedades de token.]"
Banco de Occidente Móvil,"Descarga nuestra App Banco de Occidente Móvil y realiza tus consultas y transacciones de forma fácil cómoda y segura desde tu celular o tablets. La nueva aplicación donde podrás: -Tener un diseño y funcionalidades más amigable. -Facilidad en el registro y en el ingreso. -Consultar tus Productos y Movimientos. -Realizar pagos de Servicios, Obligaciones y Tarjetas de Crédito. -Realizar transferencias a cuentas propias, de terceros, Aval y otras entidades. -Encontrar información sobre nuestros productos, tarifas y promociones. -A través del módulo de puntos de atención podrás encontrar la información y localización de las oficinas, Cajeros Automáticos ATH y Corresponsales Bancarios del Grupo Aval a nivel nacional. Requisitos para el registro a Transacciones • Tener una cuenta de ahorros y/o corriente con el Banco de Occidente. • Tener un numero de celular registrado como dato seguro. • O tener un dispositivo Token físico o Token Mobile generador de claves aleatorias. Para mayor información te invitamos a consultar https://www.bancodeoccidente.com.co/appmovil o comunícate con nuestra línea de Servicio al Cliente 01 8000 51 46 52, o en Bogotá al 3 07 70 27.",3.6,340,181,33,"[Ahora tendrás disponible el nuevo servicio Consulta de Movimientos históricos para Cuenta de Ahorros, Corriente y Tarjetas de Crédito Credencial en nuestra App Banco de Occidente Móvil.]"
"IQ Option broker: opera con Forex, CFD’s, bitcoin","Creada para cumplir las expectativas de los traders más exigentes, la aplicación móvil de IQ Option ofrece la inmersión definitiva en el mundo del trading inteligente envuelta en una interfaz clara y lo que es más - ¡SIN comisiones! ¡Todo en UN solo click! IQ Option Forex: -Los pares de divisas más populares en tu sala de operaciones; -  Protección contra balance negativo; - Spread pequeños; - Autocierre de tus posiciones; - Amplio rango de multiplicadores. IQ Option Cryptocurrency: - Disfruta de la fiebre de las criptomonedas y sumate a los miles de traders que ya están especulando en esta nueva tendencia financiera; - Compra y vende criptomonedas TOP en un solo click; - Empieza con tan solo 1$ IQ Option CFD: Opera con los movimientos de precio de los gigantes de la industria sin realmente poseer el activo subyacente y pagar el precio completo de la acción. TOP 10 de cosas que también ofrecemos: 1. ¡CUENTA DEMO GRATIS! Sin necesidad de direcciones email, información personal o detalles bancarios (hasta que deposites). Con nuestra aplicación de trading puedes empezar desde ya. Cambia de la cuenta demo a la real al instante. 2. BAJOS DEPÓSITOS requeridos. Cuentas de fácil creación con un depósito mínimo de 10$ y un mínimo de inversión de 1$, aún más opciones con las cuentas pre-VIP y VIP. 3. RÁPIDAS RETIRADAS sin cantidad mínima de retirada. Retire al sistema de pagos de su confianza: tarjetas de crédito, monederos electrónicos, transferencia bancaria. 4. SOPORTE 24/7 en 19 idiomas a través de mensajes, chat y llamadas gratuitas. Los miembros de nuestro equipo estarán encantados de proporcionarle asistencia en su cuenta en cualquier tema. IQ Option se esfuerza por mantener una atmósfera de soporte super amistosa (si, también curamos los corazones rotos). 5. TRADUCCIONES hechas en 13 idiomas y como bono - 11 divisas de cuenta disponibles para que escojas por ti mismo. 6. MÚLTIPLES PREMIOS reconociendo la profesionalidad incluyendo, Mejor Plataforma Móvil de Trading y Mejor Aplicación de Tecnología, más en nuestro sitio web https://iqoption.com/en/awards . 7. EDUCACIÓN en forma de videotutoriales, emails, y material escrito disponible en 13 idiomas. 8. ALERTAS DE MOVIMIENTOS DEL PRECIO: la única característica que trae directamente a tu pantalla las últimas noticias del mercado, mostrando el activo y su porcentaje de cambio. Siempre estarás al corriente de la volatilidad del mercado. 9. SUPER - RÁPIDA EJECUCIÓN de operaciones con los datos del mercado en vivo: Cuando el tiempo es oro - cada segundo cuenta y por eso estamos aquí. 10. PODEROSA plataforma móvil con un diseño claro y fácil de usar, todo lo que necesitas está en la sala de operaciones de tu app, con funciones de personalización incluidas. Ahora puedes tener incluso más opciones dónde elegir, entre las apps móviles y de tableta, la aplicación de escritorio y la versión web. Experimenta la experiencia de trading definitiva multiplataforma, que te acompaña allí a donde vayas. Siéntete cómo en casa con nosotros, ¡y llévanos contigo! Dado que es una aplicación de trading online, por favor tenga en cuenta que requiere conexión a internet. Términos del Servicio: https://iqoption.com/es/terms-and-conditions/terms-conditions Alerta de Riesgo General: Advertencia de peligro: Invertir involucra un alto grado de riesgo",4.3,193147,129213,27686,"[Take-profit & Stop-loss: put a limit on your risks, safeguard your investment from a sudden change of trend once you’ve reached the desired profitability. Now you are in control.]"
Mis Finanzas,"La aplicación Mis Finanzas es una herramienta perfecta para todos los que quieran controlar sus gastos. Desde ahora la gestión del presupuesto familiar irá aclarando. Gracias a las funciones bien seleccionadas deberás no sólo ahorrar más pero también analizar tus operaciones financieras más precisamente. Un atractivo e intuitivo interface te ayudará en añadir de manera fácil y agradable transacciones nuevas y analizar las existentes. Con unos cuantos tecleos adjuntarás un gasto o ingreso, comprobarás el saldo de las cuentas utilizadas (determinadas en la aplicación por ti), y además podrás totalizar todos los recursos obtenidos y empleados con división en categorías o periodos concretos. Ahorrar el dinero se hará más sencillo y cómodo. Las funciones esenciales del programa: - agregación de los ingresos y gastos de modo rápido e intuitivo. Con un gesto del ratón pasas a la ventana de agregación de las operaciones financieras nuevas, luego rellenas los datos necesarios, los guardas y ya está todo. La sencillez y funcionalidad son atributos principales de la aplicación Mis finanzas. - Opción de crear categorías y subcategorías a tu gusto. Cada categoría tiene su color para ajustar, que hace todo más aclarado. - Gestión de varias cuentas, para manejar tu cartera más atentamente, puedes fijar cualquier cantidad de cuentas, pero eso no es todo… La gran ventaja de la aplicación de gestión presupuestaria es la posibilidad de filtrar todas las operaciones según la cuenta. Nuestro programa te lo facilita, sólo basta marcar el cuento, que habrá de ser visible dentro de la aplicación entera en el momento indicado. - Orden permanente, que simplifica aún más la operación de presupuesto familiar. ¡Puedes definir una operación con la frecuencia determinada, y la aplicación la ejecutará por ti! Un ejemplo de tal operación es la factura de teléfono, el alquiler o tu salario. - Operaciones planeadas, que te permite ver la suma de ingresos y gastos en los meses concretos. Esto resulta especialmente importante cuando planeas algunas inversiones o simplemente te gusta organizar y quieres saber, si logres ahorrar en los meses siguientes. - Historia con el filtro desarrollado sirve para seguir propios ingresos y gastos. Cada uno que se decide a aprovechar este tipo del programa, también quiere controlar la marcha de sus finanzas. Esta función está disponible con nuestra aplicación, observa detalladamente tu presupuesto familiar. - Revisión de las operaciones con la especificación de categorías y subcategorías te mostrará en qué gastas sobre todo tu dinero. Con el análisis adecuado, podrás planear cómo ahorrar más en el futuro. - Estadísticas es una función muy práctica para gestionar gastos e ingresos. Te permite comparar las diferencias entre ellos en los meses concretos. - Diagramas proveen el análisis de las transacciones de hasta ahora con división en categorías o en años/ meses indicados. - Esto es solo una parte de las funciones del programa. Además Mi finanzas te posibilitan fijar el día inicial del mes para mejor flexibilidad (p.e. en caso cuando recibes tu salario cada 10 día), importar y exportar los datos al archivo csv – para el análisis de finanzas más exacto, y crear la copia de respaldo – para tu seguridad. Mis finanzas es un asistente útil para gestionar el presupuesto familiar, que te ayudará mandar todas las finanzas de hogar. Si quieres sabes en qué y porqué el dinero se desvanece tan rápido- eso significa que esta aplicación está designada para ti. Si tuvieras algunas ideas para mejorar la aplicación o notaras algún error, siéntete libre para escribirnos: info@7csolutions.com Why we need specific permissions? WRITE_EXTERNAL_STORAGE / READ_EXTERNAL_STORAGE - import / export / backup RECEIVE_BOOT_COMPLETED - starting standing orders service ACCESS_NETWORK_STATE/INTERNET - ads READ_LOGS - reporting bugs via ACRA",4.5,38206,24645,11063,"[Version 2.1, -Web Access added, -Repeated operation problem fixed, -Csv import fixed, -User suggestions included]"
BBVA Provinet Móvil,"Ahora disfruta de Provinet Móvil en tu Android. Realiza las operaciones bancarias más importantes desde tu móvil. • Consulta la información de tus productos contratados con el BBVA Provincial. • Visualiza el detalle de tus movimientos. • Realiza Transferencias y pagos de tarjetas • Realiza pagos de servicios • Localiza los cajeros, oficinas y Zonas Express de BBVA Provincial, con la ruta más rápida desde tu posición. • Próximamente muchas operaciones más. Requisitos: • Compatible con Android. Requiere Android 4.0 o posterior • Para las versiones menores a Android 4.0 y Tablet se instalará acceso directo a la versión Browsing de BBVA Provinet Móvil • Conexión a Internet Aunque no seas cliente de BBVA con esta aplicación podrás localizar los cajeros y sucursales de BBVA Provincial.",4.3,43783,29244,6889,"[Puedes registrarte en Provinet desde tu dispositivo móvil, Acceso rápido, después de la primera vez sólo tendrás que colocar tu clave de acceso, Realiza tus operaciones desde cualquier lugar con la opción ""Quiero"", Ahora puedes solicitar tu Línea de Crédito Instantánea desde Provinet Móvil, Recarga tu saldo de forma fácil en las operadoras Movistar y Digitel., Corrección de defectos menores, Disponible solo para smartphones con sistema operativo mayor a 4.0]"
App Protección,"En App Protección podrás realizar consultas y transacciones de todos los productos que tienes con Protección S.A. Consultar el horario y ubicación de nuestras oficinas de servicio en todo el país, comunicarte con nuestra Línea de Servicio y ponerte en contacto con nosotros a través de la opción escríbanos.",4.2,840,535,135,"[Corrección de bugs., Mejoras aplicación.]"
Billetera Móvil,Con esta aplicación podrás realizar pagos a través del dispositivo móvil usando tus tarjetas de crédito Bancolombia Regístrate en la aplicación con tus datos personales y agrega tus tarjetas para que puedas empezar a pagar de una manera ágil y sencilla. Copyright © 2015 Bancolombia S.A.,2.5,2374,695,148,"[- Esta nueva versión incluye ajustes sobre las versiones del sistema operativo que son soportadas por la aplicación, y mejoras en el diseño.]"
Haga Cuentas,"Si busca una aplicación de presupuesto sencilla que le ayude a manejar sus finanzas personales, con Haga Cuentas encuentra la solución. La nueva aplicación gratuita de Davivienda le permite crear tanto su Presupuesto Personal Mensual como Presupuestos Específicos para remodelaciones, viajes, reuniones y eventos. Con Haga Cuentas podrá: • Elaborar su presupuesto mensual o específico con los valores planeados y los valores reales de ingresos y gastos • Comparar los valores planeados de su presupuesto con los valores reales de ingresos y gastos • Editar los valores planeados de ingresos y gastos • Ver los totales planeados y reales mes a mes • Consultar los presupuestos cuando desee • Ver gráficamente la composición de cada categoría de su presupuesto • Comparar a través de gráficas o tablas sus presupuestos personales de los 3 o 6 meses anteriores. • Programar alertas para el manejo de su presupuesto Con esta herramienta aprenda a hacer bien las cuentas.",3.6,611,273,96,"[Integración de URL Schemes, forma para llamar/abrir las apps desde un enlace]"
ChevyPlan® Colombia,"ChevyPlan® App está diseñada para que tengas toda la información que necesitas acerca de tu plan de ahorro programado para adquirir tu Chevrolet 0 km. Con la App ChevyPlan® además podrás: - Monitorear tu plan de ahorro programado - Pagar tu cuota mensual fácil y rápido - Realizar ofertas para la próxima asamblea - Ver la asamblea online - Conocer los detalles de las asambleas anteriores - Encontrar oficinas, playas de venta y puntos de pago - Ganar reconocimientos por tu compromiso - Recordar los eventos más importantes. Descárgala ahora mismo y conoce todos los beneficios de ahorrar con ChevyPlan®. *Aplica sólo para consulta de planes de ChevyPlan® Colombia.",4.1,87,63,4,"[Descarga la nueva versión de la App ChevyPlan y descubre lo nuevo que tenemos para ti:, - Ahora podrás recordar tu usuario para iniciar sesión, - Descargar tu factura y tenerla a la mano en tu celular., - Mejoramos los mensajes en los trofeos para que sepas como conseguirlos., - Ajustamos algunos bugs]"
Serfinansa Movil,Aplicación Móvil de Serfinansa compañía de financiamiento * Permite la consulta de saldos. * Administración y gestión de clave * Solicitar desembolso de crédito rotativo. * Permite generar extractos y enviarlo al correo.,3.0,349,117,45,"[* Corrección de errores al cargar, * Mejora de imagen en celulares con pantallas pequeñas]"
Xtrade - Online CFD Trading,"- Comercie con acciones, indices, materias primas,Forex, petroleo y oro a traves de nuestro servicio de CFD - Comercie en cualquier lugar y a cualquier hora - Sin comisiones-spreads fijos - Broker con licencia y totalmente regulado - Plataforma de operaciones ganadora de premios - Soporte multi lenguaje de primera clase - Facil de usar - Graficos y señales en vivo Opera como un professional! Advertencia de riesgo Los productos forex son productos apalancados y a causa de ello operar en forex implica un alto nivel de riesgo que podria no ser apto para todos. XTrade recomienda a ud que lea los terminus y condiciones para asegurarse que ud entendio los riesgos implicados antes de tomar alguna decision concerniente a los productos XForex. Asesorese en forma independiente si lo cree necesario.",4.2,25580,17051,3536,"[• Live chat and direct dialing to customer support, • Powerful one-tap technical analysis and charting tools, • Expanded instrument information, • Reuters News Feed, • Cancellation of pending withdrawal]"
Colpatria Móvil Personas,"Con Colpatria Móvil puedes realizar transacciones de forma fácil, rápida y segura. Regístrate gratuitamente y podrás tener acceso a tu Banco con un solo dedo, sin horarios ni distancias. Aquí podrás consultar tus productos y movimientos; realizar pagos de servicios públicos y de tus obligaciones Colpatria; hacer recargas a celular, trasferencias y mucho más. Encontrarás los principales indicadores financieros y podrás ubicar el cajero o la oficina más cerca de ti, sin importar donde te encuentres. Aprovecha tus productos ingresando a la opción Promociones, y encuentra la lista de nuestras ofertas y descuentos destacados o encuentra en el mapa los más cercanos a ti . En el evento en el que lo requieras, también podrás generar el bloqueo de tus tarjetas Débito o Crédito, tendrás a la mano los teléfonos de nuestra Multilínea y podrás comunicarte fácilmente con nuestro Chat. Ten presente que para ingresar a la zona transaccional debes estar registrado en nuestra Banca Net (Banca por Internet desde tu PC) Descarga Colpatria Móvil e ingresa a tu Banco con un solo dedo.",2.8,1794,576,202,"[¡Gracias por utilizar Colpatria Móvil! Actualízala y podrás continuar realizando, recargas a celular, pagos de productos Colpatria y mucho más.]"
